round,AVG RTT,AVG distance
1,0.2946704626,3.0735837858
2,0.2946704626,2.9458794924
3,0.2946704626,2.7921755297
4,0.3044605255,2.347938158
5,0.2598389983,2.0142513082
6,0.2803131938,1.6473075012
7,2.1583549678,1.2373915337
8,3.5884343088,1.0445269245
9,3.5719126463,0.8766085103
10,1.8952414393,0.7042647464
11,1.0118968785,0.6064095474
12,1.6457363963,0.5369821518
13,1.4743544161,0.483809926
14,0.9640865028,0.4521422455
15,0.8463151753,0.4285865273
16,2.506673336,0.4055630414
17,2.5236308575,0.3891899545
18,2.013169229,0.3751888287
19,1.3745352626,0.3627793362
20,1.9250288606,0.3524573807
21,1.9218213856,0.3535575034
22,0.8987374604,0.3454320213
23,0.8739940822,0.3471037736
24,1.5454702079,0.3462496395
25,1.5665777028,0.3462746587
26,0.9845681489,0.349148341
27,0.9508244693,0.3605668542
28,2.1749176085,0.3796586725
29,2.1637566388,0.3780904682
30,1.5279240906,0.389212439
31,1.4281608164,0.4002768234
32,2.2185109556,0.3957751491
33,2.2191293538,0.3922081152
34,1.067135483,0.3918878143
35,1.0297037661,0.3827334632
36,1.5897005796,0.3842989562
37,1.5506818891,0.3848902008
38,0.8154138923,0.3765792002
39,0.8273944259,0.3706182227
40,18.6065994203,0.3630063279
41,18.5984037816,0.3518451383
42,18.0734395981,0.3577103941
43,1.5503466129,0.3541443097
44,2.4761706591,0.3453538193
45,2.4244114757,0.3514364215
46,1.2084320188,0.3544987706
47,0.8518248796,0.3462041911
48,1.6711689532,0.3458963528
49,1.74600631,0.3568380614
50,1.1787489057,0.3574886652
51,0.8761137724,0.3469235067
52,2.2170506418,0.3464496068
53,2.2311285138,0.3404934951
54,1.7161555588,0.3479060634
55,1.442797482,0.3555261467
56,2.122938633,0.3496666973
57,2.1124519408,0.3422979468
58,0.9653531015,0.3388118212
59,0.8353106678,0.3333522524
60,1.6801804304,0.3290167862
61,1.6588978469,0.3279673462
62,1.2343563139,0.331844675
63,0.9131766856,0.3272454694
64,2.1610222757,0.3287989222
65,2.0423717797,0.3306412179
66,1.5181601048,0.3275249643
67,1.4790073037,0.3284819421
68,2.2271834314,0.3307044616
69,2.2509172559,0.3246239239
70,1.0483600199,0.3243065213
71,0.7891915739,0.324998479
72,1.4997571707,0.3215883358
73,1.5095099807,0.3204468762
74,0.9970404208,0.3230981372
75,0.7979273796,0.3224802126
76,2.422504127,0.3202086389
77,2.4102963507,0.3225357801
78,1.9255131483,0.3234741497
79,1.3743750751,0.3197817324
80,2.0302310586,0.3225220362
81,1.9929371774,0.3235207803
82,0.9466223419,0.3235001856
83,0.8506067097,0.3294843523
84,1.7314441502,0.3302188395
85,1.7082691193,0.3280235327
86,1.1722631752,0.3244540788
87,0.8039325476,0.3246971238
88,2.0402260125,0.3253242492
89,2.0295269787,0.3213377906
90,1.5203915536,0.323567799
91,1.3907812536,0.3185652249
92,2.080809325,0.3161571898
93,2.0579732955,0.3166986408
94,1.0300464928,0.3203138657
95,0.896666199,0.3148434396
96,1.6781277955,0.3141528225
97,1.5595071018,0.3364196031
98,0.9973980486,0.3297537117
99,0.7523484528,0.3310075911
100,0.7578507066,0.3405294007
101,1.9179657102,0.3378696859
102,1.3891607523,0.3308229145
103,2.9210560024,0.3298744319
104,1.7608180642,0.3239893663
105,2.4616084993,0.3173505563
106,1.4853551984,0.3331967425
107,1.480255276,0.3275220207
108,0.8065029979,0.3181920922
109,0.2434253693,0.3238377232
110,1.3590268791,0.3180792431
111,1.4661252499,0.3045795548
112,2.3073628545,0.3002173033
113,1.1990144849,0.2965058681
114,1.7491914332,0.3014169659
115,1.4456994832,0.287588746
116,2.0957663655,0.2824213881
117,1.4345571399,0.2842360279
118,2.626914531,0.2721030702
119,1.9653178751,0.2731392043
120,2.5222375989,0.3272167054
121,0.8063316345,0.3585075034
122,1.5494152904,0.348886007
123,1.5236400068,0.4239326792
124,2.1856874228,0.4587608063
125,1.473814249,0.4557583232
126,1.5625320375,0.5815289706
127,1.5181861818,0.5891660076
128,2.0321384072,0.5578228975
129,1.3896338642,0.6346333427
130,2.0237825811,0.638255305
131,1.4876686037,0.6029830944
132,1.9892267883,0.6769732588
133,0.7549375296,0.6741758186
134,1.3772808015,0.6387277603
135,1.3805106282,0.7550731938
136,1.960221678,0.7489833296
137,1.3475641608,0.6901081311
138,1.6264878213,0.7875400716
139,1.679867506,0.764837104
140,2.2555738688,0.7062727218
141,1.4788135886,0.763935171
142,2.4897120893,0.7791613122
143,1.8934644759,0.740461796
144,2.4009421468,0.7794364298
145,0.7702559233,0.760057567
146,1.4132559299,0.7275901261
147,1.4469996095,0.7325674149
148,1.9971318543,0.7327065011
149,1.3907328248,0.719301402
150,1.6206540167,0.7641683807
151,1.7001740634,0.7397958835
152,2.3570619524,0.7423416548
153,1.5923380852,0.8087514191
154,2.3515149951,0.7846347492
155,1.6950145364,0.7902712391
156,2.1948888898,0.8465196161
157,0.7973685861,0.8016641162
158,1.5255250037,0.80156994
159,1.535102725,0.8279311345
160,2.0680911839,0.7891708911
161,1.3148114085,0.805212113
162,1.4907307923,0.9022461561
163,1.4590919018,0.818799315
164,1.9792243838,0.8046056667
165,1.2861825526,0.9117614799
