round,error1,error2,error3,error4,error5,error6,error7,error8,error9,error10
60,0.4150174895,1.5005448786,0.0008529044,2.8527287698,2.3246146005,1.4544804534,1.9600807968,2.0214799068,2.571476105,2.518490854
61,0.4035174744,1.5243422782,0.0201499557,3.0155121946,2.5000525892,1.4681428798,2.0043404267,2.0862688449,2.6528088158,2.5504225618
62,0.299381339,1.627416295,0.04033081,3.0766507698,2.7211399758,1.5783378324,2.2681025528,2.2683113521,2.8828489265,2.8661776314
63,0.3029566638,1.627586458,0.0296571854,3.0705814151,2.7169211585,1.5794577096,2.2678433795,2.2715415376,2.9155231505,2.8740149629
64,0.3028046536,1.6288493424,0.0499963749,3.0722156007,2.7187300884,1.5827689821,2.2635634444,2.2606213104,2.9119875823,2.8795283947
65,0.3025172365,1.7995526672,0.0523599018,3.0556995352,2.7158972847,1.5864932598,2.2603877356,2.4235402146,2.9194830514,2.8819666083
66,0.3035327437,1.8002208188,0.0586409876,3.0517782673,2.7068080304,1.5852984922,2.2681370624,2.4146059662,3.1774576048,2.8881456291
67,0.303638358,1.8004502713,0.0506712801,3.0333400382,2.7046573115,1.5887171728,2.2718452756,2.4193872128,3.1832887641,2.8847744873
68,0.3087073726,1.7959745967,0.032334305,3.0218903633,2.6944174498,1.5867936125,2.2724637203,2.4200243801,3.1825040653,2.8825904675
69,0.3079843222,1.8279317914,0.0210230105,2.9844025118,2.8625311482,1.8108226319,1.79426387,0.0548748963,2.4103253376,1.9760335072
70,0.0100094123,1.8364040443,0.0222285469,3.008402099,2.8930900835,1.8240418013,1.8135213671,0.057696117,2.4430778518,1.9939216594
71,0.0143103484,1.868465279,0.0098606589,3.1089295023,3.0455401423,1.8414826474,1.8640831386,0.0204950087,2.5105776364,2.0311172935
72,0.0182564756,1.935731673,0.0016755466,3.1873161298,3.1626001642,1.9191685069,1.9142643432,0.0191026814,2.5858483254,2.105297808
73,0.0176533726,1.9448833192,0.0101574643,3.1962866399,3.1669747433,1.9342486669,1.9187855564,0.0179640235,2.6130675525,2.1204271593
74,0.0185222315,1.9517449202,0.0052826925,3.2009939514,3.1605818836,1.9461627954,1.9184640881,0.0141739481,2.6022501099,2.1321760592
75,0.015089821,1.9511018708,0.0027274257,3.200814588,3.1854933132,1.9514271083,1.9073713699,0.0132620035,2.6182532342,2.1322309669
76,0.0153548597,1.9571912257,0.0070052875,3.2093195983,3.1851319017,1.9540821265,1.921155588,0.007194994,2.6166600768,2.1481998031
77,0.0156491501,1.9610898801,0.0026730159,3.1989788511,3.1882026195,1.9634050288,1.9340962161,0.0088643148,2.6504660507,2.152228213
78,0.0152384317,1.9632545538,0.0078477284,3.2275142968,3.1844184243,1.9623926923,1.940115468,0.0060651446,2.6573488531,2.1559068812
79,0.0025727733,2.4606852562,0.0012270088,0.4241591296,0.10956044,0.0368214882,1.7423800062,2.143366417,0.0037356534,1.7362441979
80,0.0818529464,2.4832678908,0.0032101255,0.4265523872,0.1043553145,0.0327753158,1.7813605568,2.1357541114,0.0031369673,1.7694554829
